stage,idx,level,days,delivered,final_pass,original_failure,unified_failure,run_dir
A,27,easy,5,False,False,,delivery/agent_control,runs\20260904T072634756992Z_deepseek-chat_validation_027
A,28,easy,5,True,False,,route/transportation,runs\20260904T072638947795Z_deepseek-chat_validation_028
A,29,easy,5,True,True,,success,runs\20260904T072643114474Z_deepseek-chat_validation_029
A,30,easy,5,True,False,,budget/minimum_nights,runs\20260904T072647030599Z_deepseek-chat_validation_030
A,31,easy,5,True,False,,route/transportation,runs\20260904T072650977698Z_deepseek-chat_validation_031
A,32,easy,5,True,False,,route/transportation,runs\20260904T072654857083Z_deepseek-chat_validation_032
A,33,easy,5,True,False,,route/transportation,runs\20260904T072700079003Z_deepseek-chat_validation_033
A,34,easy,5,True,False,,route/transportation,runs\20260904T072703917315Z_deepseek-chat_validation_034
A,35,easy,5,True,False,,budget/minimum_nights,runs\20260904T072707452116Z_deepseek-chat_validation_035
A,36,easy,5,True,False,,route/transportation,runs\20260904T072711964472Z_deepseek-chat_validation_036
A,37,easy,5,True,True,,success,runs\20260904T072716050045Z_deepseek-chat_validation_037
A,38,easy,5,True,False,,budget/minimum_nights,runs\20260904T072720825039Z_deepseek-chat_validation_038
A,39,easy,5,True,False,,route/transportation,runs\20260904T072725147458Z_deepseek-chat_validation_039
A,40,easy,5,True,True,,success,runs\20260904T072729440773Z_deepseek-chat_validation_040
A,41,easy,7,True,False,,route/transportation,runs\20260904T072733280827Z_deepseek-chat_validation_041
A,42,easy,7,True,False,,route/transportation,runs\20260904T072739572825Z_deepseek-chat_validation_042
A,43,easy,7,False,False,,delivery/agent_control,runs\20260904T072746875087Z_deepseek-chat_validation_043
A,44,easy,7,True,False,,budget/minimum_nights,runs\20260904T072752672526Z_deepseek-chat_validation_044
A,45,easy,7,True,False,,route/transportation,runs\20260904T072758832940Z_deepseek-chat_validation_045
A,46,easy,7,True,False,,route/transportation,runs\20260904T072803379157Z_deepseek-chat_validation_046
A,47,easy,7,True,False,,diversity/preference/room_rule,runs\20260904T072809869551Z_deepseek-chat_validation_047
A,48,easy,7,True,False,,route/transportation,runs\20260904T072815623106Z_deepseek-chat_validation_048
A,49,easy,7,True,False,,route/transportation,runs\20260904T072821200250Z_deepseek-chat_validation_049
A,50,easy,7,True,False,,diversity/preference/room_rule,runs\20260904T072827178191Z_deepseek-chat_validation_050
A,51,easy,7,True,False,,route/transportation,runs\20260904T072832560575Z_deepseek-chat_validation_051
A,52,easy,7,False,False,,delivery/agent_control,runs\20260904T072838591450Z_deepseek-chat_validation_052
A,53,easy,7,True,False,,budget/minimum_nights,runs\20260904T072846002449Z_deepseek-chat_validation_053
A,54,easy,7,True,False,,route/transportation,runs\20260904T072852128563Z_deepseek-chat_validation_054
A,55,easy,7,True,False,,route/transportation,runs\20260904T072858318559Z_deepseek-chat_validation_055
A,56,easy,7,True,False,,route/transportation,runs\20260904T072904310258Z_deepseek-chat_validation_056
A,57,easy,7,False,False,,delivery/agent_control,runs\20260904T072911417363Z_deepseek-chat_validation_057
A,58,easy,7,True,False,,route/transportation,runs\20260904T072919182723Z_deepseek-chat_validation_058
A,59,easy,7,True,True,,success,runs\20260904T072924812610Z_deepseek-chat_validation_059
A,60,easy,7,True,False,,route/transportation,runs\20260904T072931470181Z_deepseek-chat_validation_060
A,61,medium,3,True,False,,route/transportation,runs\20260904T072936985525Z_deepseek-chat_validation_061
A,62,medium,3,True,False,,budget/minimum_nights,runs\20260904T072942260159Z_deepseek-chat_validation_062
A,63,medium,3,True,False,,budget/minimum_nights,runs\20260904T072946148272Z_deepseek-chat_validation_063
A,64,medium,3,True,True,,success,runs\20260904T072949132676Z_deepseek-chat_validation_064
A,65,medium,3,True,False,,diversity/preference/room_rule,runs\20260904T072951994302Z_deepseek-chat_validation_065
A,66,medium,3,True,False,,budget/minimum_nights,runs\20260904T072955260653Z_deepseek-chat_validation_066
A,67,medium,3,True,False,,grounding/utilization,runs\20260904T072958957134Z_deepseek-chat_validation_067
A,68,medium,3,True,True,,success,runs\20260904T073002467279Z_deepseek-chat_validation_068
A,69,medium,3,True,False,,budget/minimum_nights,runs\20260904T073005525892Z_deepseek-chat_validation_069
A,70,medium,3,True,True,,success,runs\20260904T073008344514Z_deepseek-chat_validation_070
A,71,medium,3,True,False,,diversity/preference/room_rule,runs\20260904T073011553546Z_deepseek-chat_validation_071
A,72,medium,3,True,False,,diversity/preference/room_rule,runs\20260904T073014683375Z_deepseek-chat_validation_072
A,73,medium,3,True,False,,budget/minimum_nights,runs\20260904T073018896901Z_deepseek-chat_validation_073
A,74,medium,3,True,False,,diversity/preference/room_rule,runs\20260904T073024056980Z_deepseek-chat_validation_074
A,75,medium,3,True,False,,budget/minimum_nights,runs\20260904T073027382367Z_deepseek-chat_validation_075
A,76,medium,3,True,True,,success,runs\20260904T073030957083Z_deepseek-chat_validation_076
A,77,medium,3,True,False,,budget/minimum_nights,runs\20260904T073034203687Z_deepseek-chat_validation_077
A,78,medium,3,True,False,,budget/minimum_nights,runs\20260904T073038005728Z_deepseek-chat_validation_078
A,79,medium,3,True,False,,diversity/preference/room_rule,runs\20260904T073041216176Z_deepseek-chat_validation_079
A,80,medium,3,True,False,,grounding/utilization,runs\20260904T073044577795Z_deepseek-chat_validation_080
A,81,medium,5,True,False,,budget/minimum_nights,runs\20260904T073048028109Z_deepseek-chat_validation_081
A,82,medium,5,True,False,,diversity/preference/room_rule,runs\20260904T073052784136Z_deepseek-chat_validation_082
A,83,medium,5,True,False,,budget/minimum_nights,runs\20260904T073057798955Z_deepseek-chat_validation_083
A,84,medium,5,True,False,,budget/minimum_nights,runs\20260904T073102970788Z_deepseek-chat_validation_084
A,85,medium,5,True,False,,budget/minimum_nights,runs\20260904T073107100332Z_deepseek-chat_validation_085
A,86,medium,5,True,False,,route/transportation,runs\20260904T073111340520Z_deepseek-chat_validation_086
A,87,medium,5,True,False,,route/transportation,runs\20260904T073115283497Z_deepseek-chat_validation_087
A,88,medium,5,True,False,,budget/minimum_nights,runs\20260904T073120694995Z_deepseek-chat_validation_088
A,89,medium,5,True,False,,budget/minimum_nights,runs\20260904T073125107268Z_deepseek-chat_validation_089
A,90,medium,5,True,False,,route/transportation,runs\20260904T073130669787Z_deepseek-chat_validation_090
A,91,medium,5,True,False,,budget/minimum_nights,runs\20260904T073134878288Z_deepseek-chat_validation_091
A,92,medium,5,True,False,,budget/minimum_nights,runs\20260904T073139831967Z_deepseek-chat_validation_092
A,93,medium,5,True,True,,success,runs\20260904T073144921131Z_deepseek-chat_validation_093
A,94,medium,5,True,False,,route/transportation,runs\20260904T073150325454Z_deepseek-chat_validation_094
A,95,medium,5,True,False,,route/transportation,runs\20260904T073155338612Z_deepseek-chat_validation_095
A,96,medium,5,True,False,,budget/minimum_nights,runs\20260904T073201008392Z_deepseek-chat_validation_096
A,97,medium,5,True,False,,route/transportation,runs\20260904T073205836136Z_deepseek-chat_validation_097
A,98,medium,5,True,False,,route/transportation,runs\20260904T073210636033Z_deepseek-chat_validation_098
A,99,medium,5,True,False,,budget/minimum_nights,runs\20260904T073215625342Z_deepseek-chat_validation_099
A,100,medium,5,True,False,,route/transportation,runs\20260904T073220253860Z_deepseek-chat_validation_100
A,101,medium,7,True,False,,route/transportation,runs\20260904T073224067300Z_deepseek-chat_validation_101
A,102,medium,7,True,False,,diversity/preference/room_rule,runs\20260904T073229558704Z_deepseek-chat_validation_102
A,103,medium,7,True,False,,route/transportation,runs\20260904T073234770833Z_deepseek-chat_validation_103
A,104,medium,7,True,False,,route/transportation,runs\20260904T073241579526Z_deepseek-chat_validation_104
A,105,medium,7,True,False,,route/transportation,runs\20260904T073249001075Z_deepseek-chat_validation_105
A,106,medium,7,True,True,,success,runs\20260904T073255502389Z_deepseek-chat_validation_106
A,107,medium,7,True,False,,budget/minimum_nights,runs\20260904T073301365396Z_deepseek-chat_validation_107
A,108,medium,7,True,False,,route/transportation,runs\20260904T073308446131Z_deepseek-chat_validation_108
A,109,medium,7,True,False,,budget/minimum_nights,runs\20260904T073314576400Z_deepseek-chat_validation_109
A,110,medium,7,False,False,,delivery/agent_control,runs\20260904T073328756353Z_deepseek-chat_validation_110
A,111,medium,7,True,False,,route/transportation,runs\20260904T073334858631Z_deepseek-chat_validation_111
A,112,medium,7,True,False,,route/transportation,runs\20260904T073341063881Z_deepseek-chat_validation_112
A,113,medium,7,True,False,,route/transportation,runs\20260904T073347790157Z_deepseek-chat_validation_113
A,114,medium,7,False,False,,delivery/agent_control,runs\20260904T073353513663Z_deepseek-chat_validation_114
A,115,medium,7,True,False,,budget/minimum_nights,runs\20260904T073359138944Z_deepseek-chat_validation_115
A,116,medium,7,True,False,,budget/minimum_nights,runs\20260904T073405852465Z_deepseek-chat_validation_116
A,117,medium,7,True,False,,budget/minimum_nights,runs\20260904T073422309483Z_deepseek-chat_validation_117
A,118,medium,7,True,False,,route/transportation,runs\20260904T073428793213Z_deepseek-chat_validation_118
A,119,medium,7,True,False,,route/transportation,runs\20260904T073435253981Z_deepseek-chat_validation_119
A,120,medium,7,True,False,,route/transportation,runs\20260904T073441948670Z_deepseek-chat_validation_120
A,121,hard,3,True,False,,diversity/preference/room_rule,runs\20260904T073449007383Z_deepseek-chat_validation_121
A,122,hard,3,True,False,,route/transportation,runs\20260904T073452601145Z_deepseek-chat_validation_122
A,123,hard,3,True,False,,diversity/preference/room_rule,runs\20260904T073456154893Z_deepseek-chat_validation_123
A,124,hard,3,True,False,,budget/minimum_nights,runs\20260904T073459425577Z_deepseek-chat_validation_124
A,125,hard,3,True,False,,budget/minimum_nights,runs\20260904T073502987755Z_deepseek-chat_validation_125
A,126,hard,3,True,False,,budget/minimum_nights,runs\20260904T073512562684Z_deepseek-chat_validation_126
A,127,hard,3,True,True,,success,runs\20260904T073515416646Z_deepseek-chat_validation_127
A,128,hard,3,True,False,,budget/minimum_nights,runs\20260904T073518587730Z_deepseek-chat_validation_128
A,129,hard,3,True,False,,budget/minimum_nights,runs\20260904T073521536273Z_deepseek-chat_validation_129
A,130,hard,3,True,False,,route/transportation,runs\20260904T073524787145Z_deepseek-chat_validation_130
A,131,hard,3,False,False,,delivery/agent_control,runs\20260904T073527924232Z_deepseek-chat_validation_131
A,132,hard,3,True,False,,budget/minimum_nights,runs\20260904T073530859596Z_deepseek-chat_validation_132
A,133,hard,3,True,False,,budget/minimum_nights,runs\20260904T073533644840Z_deepseek-chat_validation_133
A,134,hard,3,True,True,,success,runs\20260904T073537124745Z_deepseek-chat_validation_134
A,135,hard,3,True,True,,success,runs\20260904T073539924260Z_deepseek-chat_validation_135
A,136,hard,3,True,False,,budget/minimum_nights,runs\20260904T073542999533Z_deepseek-chat_validation_136
A,137,hard,3,True,False,,budget/minimum_nights,runs\20260904T073545925205Z_deepseek-chat_validation_137
A,138,hard,3,True,False,,route/transportation,runs\20260904T073548671448Z_deepseek-chat_validation_138
A,139,hard,3,True,True,,success,runs\20260904T073551458031Z_deepseek-chat_validation_139
A,140,hard,3,True,False,,route/transportation,runs\20260904T073554549718Z_deepseek-chat_validation_140
A,141,hard,5,True,False,,route/transportation,runs\20260904T073557551358Z_deepseek-chat_validation_141
A,142,hard,5,True,False,,budget/minimum_nights,runs\20260904T073602234759Z_deepseek-chat_validation_142
A,143,hard,5,True,False,,budget/minimum_nights,runs\20260904T073606997145Z_deepseek-chat_validation_143
A,144,hard,5,True,False,,budget/minimum_nights,runs\20260904T073611554237Z_deepseek-chat_validation_144
A,145,hard,5,True,True,,success,runs\20260904T073615809166Z_deepseek-chat_validation_145
A,146,hard,5,True,False,,budget/minimum_nights,runs\20260904T073620089856Z_deepseek-chat_validation_146
A,147,hard,5,True,False,,route/transportation,runs\20260904T073624339090Z_deepseek-chat_validation_147
A,148,hard,5,True,False,,budget/minimum_nights,runs\20260904T073627675124Z_deepseek-chat_validation_148
A,149,hard,5,False,False,,delivery/agent_control,runs\20260904T073632040923Z_deepseek-chat_validation_149
A,150,hard,5,True,False,,budget/minimum_nights,runs\20260904T073635913003Z_deepseek-chat_validation_150
A,151,hard,5,True,False,,budget/minimum_nights,runs\20260904T073640038027Z_deepseek-chat_validation_151
A,152,hard,5,False,False,,delivery/agent_control,runs\20260904T073644510523Z_deepseek-chat_validation_152
A,153,hard,5,True,False,,budget/minimum_nights,runs\20260904T073648566037Z_deepseek-chat_validation_153
A,154,hard,5,True,False,,budget/minimum_nights,runs\20260904T073653115382Z_deepseek-chat_validation_154
A,155,hard,5,True,True,,success,runs\20260904T073657684103Z_deepseek-chat_validation_155
A,156,hard,5,True,False,,budget/minimum_nights,runs\20260904T073702366024Z_deepseek-chat_validation_156
A,157,hard,5,True,True,,success,runs\20260904T073706837655Z_deepseek-chat_validation_157
A,158,hard,5,True,False,,budget/minimum_nights,runs\20260904T073710932526Z_deepseek-chat_validation_158
A,159,hard,5,True,False,,budget/minimum_nights,runs\20260904T073715699572Z_deepseek-chat_validation_159
A,160,hard,5,True,False,,budget/minimum_nights,runs\20260904T073719447731Z_deepseek-chat_validation_160
A,161,hard,7,True,False,,budget/minimum_nights,runs\20260904T073723678412Z_deepseek-chat_validation_161
A,162,hard,7,True,False,,budget/minimum_nights,runs\20260904T075545067020Z_deepseek-chat_validation_162
A,163,hard,7,True,False,,diversity/preference/room_rule,runs\20260904T073734535604Z_deepseek-chat_validation_163
A,164,hard,7,True,False,,budget/minimum_nights,runs\20260904T073740355331Z_deepseek-chat_validation_164
A,165,hard,7,True,False,,budget/minimum_nights,runs\20260904T073746101769Z_deepseek-chat_validation_165
A,166,hard,7,True,False,,budget/minimum_nights,runs\20260904T073753079395Z_deepseek-chat_validation_166
A,167,hard,7,True,False,,budget/minimum_nights,runs\20260904T073800404494Z_deepseek-chat_validation_167
A,168,hard,7,True,False,,route/transportation,runs\20260904T073806309184Z_deepseek-chat_validation_168
A,169,hard,7,True,False,,budget/minimum_nights,runs\20260904T073812259769Z_deepseek-chat_validation_169
A,170,hard,7,True,False,,budget/minimum_nights,runs\20260904T073817636766Z_deepseek-chat_validation_170
A,171,hard,7,True,False,,budget/minimum_nights,runs\20260904T073823781445Z_deepseek-chat_validation_171
A,172,hard,7,True,False,,budget/minimum_nights,runs\20260904T073830056821Z_deepseek-chat_validation_172
A,173,hard,7,True,False,,budget/minimum_nights,runs\20260904T073835912401Z_deepseek-chat_validation_173
A,174,hard,7,True,False,,budget/minimum_nights,runs\20260904T073841173703Z_deepseek-chat_validation_174
A,175,hard,7,True,False,,budget/minimum_nights,runs\20260904T073846391849Z_deepseek-chat_validation_175
A,176,hard,7,True,False,,diversity/preference/room_rule,runs\20260904T073852003010Z_deepseek-chat_validation_176
A,177,hard,7,True,False,,budget/minimum_nights,runs\20260904T073857576899Z_deepseek-chat_validation_177
A,178,hard,7,True,False,,diversity/preference/room_rule,runs\20260904T073903198568Z_deepseek-chat_validation_178
A,179,hard,7,True,False,,route/transportation,runs\20260904T073908540373Z_deepseek-chat_validation_179
A,180,hard,7,True,False,,budget/minimum_nights,runs\20260904T073914352929Z_deepseek-chat_validation_180
B,1,easy,3,True,True,success,success,runs\20260905T021716788973Z_deepseek-chat_react_validation_001
B,2,easy,3,True,False,planning_constraint_failure,route/transportation,runs\20260905T021808943176Z_deepseek-chat_react_validation_002
B,3,easy,3,False,False,non_delivery_or_agent_control,delivery/agent_control,runs\20260905T021835942817Z_deepseek-chat_react_validation_003
B,4,easy,3,True,True,success,success,runs\20260905T021847641996Z_deepseek-chat_react_validation_004
B,5,easy,3,True,True,success,success,runs\20260905T021901916506Z_deepseek-chat_react_validation_005
B,6,easy,3,True,True,success,success,runs\20260905T021932967851Z_deepseek-chat_react_validation_006
B,7,easy,3,True,True,success,success,runs\20260905T021946427760Z_deepseek-chat_react_validation_007
B,8,easy,3,True,False,tool_execution_failure,tool_execution/acquisition,runs\20260905T022011253373Z_deepseek-chat_react_validation_008
B,9,easy,3,False,False,non_delivery_or_agent_control,delivery/agent_control,runs\20260905T022021572171Z_deepseek-chat_react_validation_009
B,10,easy,3,True,True,success,success,runs\20260905T022037493834Z_deepseek-chat_react_validation_010
B,11,easy,3,True,True,success,success,runs\20260905T022059132985Z_deepseek-chat_react_validation_011
B,12,easy,3,True,False,planning_constraint_failure,route/transportation,runs\20260905T022112289692Z_deepseek-chat_react_validation_012
B,13,easy,3,False,False,non_delivery_or_agent_control,delivery/agent_control,runs\20260905T022128162033Z_deepseek-chat_react_validation_013
B,14,easy,3,True,True,success,success,runs\20260905T022143991883Z_deepseek-chat_react_validation_014
B,15,easy,3,False,False,non_delivery_or_agent_control,delivery/agent_control,runs\20260905T022157595514Z_deepseek-chat_react_validation_015
B,16,easy,3,True,True,success,success,runs\20260905T022215909027Z_deepseek-chat_react_validation_016
B,17,easy,3,True,True,success,success,runs\20260905T022241221867Z_deepseek-chat_react_validation_017
B,18,easy,3,True,False,planning_constraint_failure,budget/minimum_nights,runs\20260905T022251265045Z_deepseek-chat_react_validation_018
B,19,easy,3,True,True,success,success,runs\20260905T022316377151Z_deepseek-chat_react_validation_019
B,20,easy,3,True,False,evidence_insufficient_for_chosen_plan,evidence_coverage,runs\20260905T022329514967Z_deepseek-chat_react_validation_020
B,21,easy,5,True,False,evidence_insufficient_for_chosen_plan,evidence_coverage,runs\20260905T022344780558Z_deepseek-chat_react_validation_021
B,22,easy,5,False,False,non_delivery_or_agent_control,delivery/agent_control,runs\20260905T022421011806Z_deepseek-chat_react_validation_022
B,23,easy,5,True,True,success,success,runs\20260905T022442654803Z_deepseek-chat_react_validation_023
B,24,easy,5,False,False,non_delivery_or_agent_control,delivery/agent_control,runs\20260905T022538951266Z_deepseek-chat_react_validation_024
B,25,easy,5,False,False,non_delivery_or_agent_control,delivery/agent_control,runs\20260905T022554944218Z_deepseek-chat_react_validation_025
B,26,easy,5,False,False,non_delivery_or_agent_control,delivery/agent_control,runs\20260905T022616000175Z_deepseek-chat_react_validation_026
B,27,easy,5,False,False,non_delivery_or_agent_control,delivery/agent_control,runs\20260905T022634268121Z_deepseek-chat_react_validation_027
B,28,easy,5,False,False,non_delivery_or_agent_control,delivery/agent_control,runs\20260905T022715299638Z_deepseek-chat_react_validation_028
B,29,easy,5,False,False,non_delivery_or_agent_control,delivery/agent_control,runs\20260905T022734023263Z_deepseek-chat_react_validation_029
B,30,easy,5,False,False,non_delivery_or_agent_control,delivery/agent_control,runs\20260905T022811795828Z_deepseek-chat_react_validation_030
B,31,easy,5,False,False,non_delivery_or_agent_control,delivery/agent_control,runs\20260905T022834308986Z_deepseek-chat_react_validation_031
B,32,easy,5,True,True,success,success,runs\20260905T022941580982Z_deepseek-chat_react_validation_032
B,33,easy,5,False,False,non_delivery_or_agent_control,delivery/agent_control,runs\20260905T023028894776Z_deepseek-chat_react_validation_033
B,34,easy,5,True,False,planning_constraint_failure,route/transportation,runs\20260905T023126444433Z_deepseek-chat_react_validation_034
B,35,easy,5,False,False,non_delivery_or_agent_control,delivery/agent_control,runs\20260905T023159216769Z_deepseek-chat_react_validation_035
B,36,easy,5,True,True,success,success,runs\20260905T023225259119Z_deepseek-chat_react_validation_036
B,37,easy,5,True,True,success,success,runs\20260905T023248989682Z_deepseek-chat_react_validation_037
B,38,easy,5,False,False,non_delivery_or_agent_control,delivery/agent_control,runs\20260905T023320709395Z_deepseek-chat_react_validation_038
B,39,easy,5,True,False,evidence_insufficient_for_chosen_plan,evidence_coverage,runs\20260905T023508463143Z_deepseek-chat_react_validation_039
B,40,easy,5,True,False,evidence_insufficient_for_chosen_plan,evidence_coverage,runs\20260905T023550566768Z_deepseek-chat_react_validation_040
B,41,easy,7,False,False,non_delivery_or_agent_control,delivery/agent_control,runs\20260905T023626101154Z_deepseek-chat_react_validation_041
B,42,easy,7,False,False,non_delivery_or_agent_control,delivery/agent_control,runs\20260905T023643479127Z_deepseek-chat_react_validation_042
B,43,easy,7,False,False,non_delivery_or_agent_control,delivery/agent_control,runs\20260905T023738107419Z_deepseek-chat_react_validation_043
B,44,easy,7,False,False,non_delivery_or_agent_control,delivery/agent_control,runs\20260905T023858096745Z_deepseek-chat_react_validation_044
B,45,easy,7,False,False,non_delivery_or_agent_control,delivery/agent_control,runs\20260905T023917286628Z_deepseek-chat_react_validation_045
B,46,easy,7,False,False,non_delivery_or_agent_control,delivery/agent_control,runs\20260905T024013917441Z_deepseek-chat_react_validation_046
B,47,easy,7,False,False,non_delivery_or_agent_control,delivery/agent_control,runs\20260905T024030880121Z_deepseek-chat_react_validation_047
B,48,easy,7,False,False,non_delivery_or_agent_control,delivery/agent_control,runs\20260905T024125697622Z_deepseek-chat_react_validation_048
B,49,easy,7,False,False,non_delivery_or_agent_control,delivery/agent_control,runs\20260905T024143882987Z_deepseek-chat_react_validation_049
B,50,easy,7,True,True,success,success,runs\20260905T024246637945Z_deepseek-chat_react_validation_050
B,51,easy,7,False,False,non_delivery_or_agent_control,delivery/agent_control,runs\20260905T024320474342Z_deepseek-chat_react_validation_051
B,52,easy,7,False,False,non_delivery_or_agent_control,delivery/agent_control,runs\20260905T024342729388Z_deepseek-chat_react_validation_052
B,53,easy,7,False,False,non_delivery_or_agent_control,delivery/agent_control,runs\20260905T024451587799Z_deepseek-chat_react_validation_053
B,54,easy,7,False,False,non_delivery_or_agent_control,delivery/agent_control,runs\20260905T024514926819Z_deepseek-chat_react_validation_054
B,55,easy,7,False,False,non_delivery_or_agent_control,delivery/agent_control,runs\20260905T024623649066Z_deepseek-chat_react_validation_055
B,56,easy,7,False,False,non_delivery_or_agent_control,delivery/agent_control,runs\20260905T024647553980Z_deepseek-chat_react_validation_056
B,57,easy,7,False,False,non_delivery_or_agent_control,delivery/agent_control,runs\20260905T024706330969Z_deepseek-chat_react_validation_057
B,58,easy,7,False,False,non_delivery_or_agent_control,delivery/agent_control,runs\20260905T024737295980Z_deepseek-chat_react_validation_058
B,59,easy,7,False,False,non_delivery_or_agent_control,delivery/agent_control,runs\20260905T024811729564Z_deepseek-chat_react_validation_059
B,60,easy,7,False,False,non_delivery_or_agent_control,delivery/agent_control,runs\20260905T024833833526Z_deepseek-chat_react_validation_060
B,61,medium,3,True,False,evidence_utilization_or_grounding_failure,grounding/utilization,runs\20260905T024901908502Z_deepseek-chat_react_validation_061
B,62,medium,3,True,False,planning_constraint_failure,diversity/preference/room_rule,runs\20260905T024927239718Z_deepseek-chat_react_validation_062
B,63,medium,3,False,False,non_delivery_or_agent_control,delivery/agent_control,runs\20260905T024959508071Z_deepseek-chat_react_validation_063
B,64,medium,3,True,False,evidence_insufficient_for_chosen_plan,evidence_coverage,runs\20260905T025039519102Z_deepseek-chat_react_validation_064
B,65,medium,3,True,True,success,success,runs\20260905T025101004680Z_deepseek-chat_react_validation_065
B,66,medium,3,True,True,success,success,runs\20260905T025106911376Z_deepseek-chat_react_validation_066
B,67,medium,3,True,True,success,success,runs\20260905T025131846414Z_deepseek-chat_react_validation_067
B,68,medium,3,False,False,non_delivery_or_agent_control,delivery/agent_control,runs\20260905T025144953837Z_deepseek-chat_react_validation_068
B,69,medium,3,False,False,non_delivery_or_agent_control,delivery/agent_control,runs\20260905T025314099518Z_deepseek-chat_react_validation_069
B,70,medium,3,False,False,non_delivery_or_agent_control,delivery/agent_control,runs\20260905T025433687067Z_deepseek-chat_react_validation_070
B,71,medium,3,False,False,non_delivery_or_agent_control,delivery/agent_control,runs\20260905T025530252772Z_deepseek-chat_react_validation_071
B,72,medium,3,True,False,planning_constraint_failure,budget/minimum_nights,runs\20260905T025559101172Z_deepseek-chat_react_validation_072
B,73,medium,3,True,False,planning_constraint_failure,diversity/preference/room_rule,runs\20260905T025622334973Z_deepseek-chat_react_validation_073
B,74,medium,3,True,True,success,success,runs\20260905T025636187492Z_deepseek-chat_react_validation_074
B,75,medium,3,False,False,non_delivery_or_agent_control,delivery/agent_control,runs\20260905T025657602806Z_deepseek-chat_react_validation_075
B,76,medium,3,True,False,evidence_utilization_or_grounding_failure,grounding/utilization,runs\20260905T025751889318Z_deepseek-chat_react_validation_076
B,77,medium,3,False,False,non_delivery_or_agent_control,delivery/agent_control,runs\20260905T025838122854Z_deepseek-chat_react_validation_077
B,78,medium,3,True,False,evidence_insufficient_for_chosen_plan,evidence_coverage,runs\20260905T025938819393Z_deepseek-chat_react_validation_078
B,79,medium,3,True,True,success,success,runs\20260905T025950167675Z_deepseek-chat_react_validation_079
B,80,medium,3,True,False,evidence_utilization_or_grounding_failure,grounding/utilization,runs\20260905T030004969083Z_deepseek-chat_react_validation_080
B,81,medium,5,False,False,non_delivery_or_agent_control,delivery/agent_control,runs\20260905T030054121059Z_deepseek-chat_react_validation_081
B,82,medium,5,True,True,success,success,runs\20260905T030148892005Z_deepseek-chat_react_validation_082
B,83,medium,5,False,False,non_delivery_or_agent_control,delivery/agent_control,runs\20260905T030235225584Z_deepseek-chat_react_validation_083
B,84,medium,5,False,False,non_delivery_or_agent_control,delivery/agent_control,runs\20260905T030305389022Z_deepseek-chat_react_validation_084
B,85,medium,5,False,False,non_delivery_or_agent_control,delivery/agent_control,runs\20260905T030406554500Z_deepseek-chat_react_validation_085
B,86,medium,5,False,False,non_delivery_or_agent_control,delivery/agent_control,runs\20260905T030511171149Z_deepseek-chat_react_validation_086
