baseline,sample_key,run_id,day,activity_index,type,entity,status,evidence_ref,field_checks
B,easy:m20241028164642633824,ct-b-smoke-20260907T120725Z-m20241028164642633824,2,6,accommodation,上海凯宾斯基大酒店,retrieved_and_used_consistently,tool-12-row-2,"{""price"": true, ""room_type"": true}"
B,easy:m20241028164642633824,ct-b-smoke-20260907T120725Z-m20241028164642633824,3,0,breakfast,上海凯宾斯基大酒店,retrieved_but_used_inconsistently,tool-12-row-2,"{""price"": false}"
B,easy:m20241028164642633824,ct-b-smoke-20260907T120725Z-m20241028164642633824,3,1,attraction,南京路步行街,retrieved_and_used_consistently,tool-9-row-1,"{""price"": true}"
B,easy:m20241028164642633824,ct-b-smoke-20260907T120725Z-m20241028164642633824,3,2,lunch,四季民福烤鸭店(外滩外白渡桥店),retrieved_and_used_consistently,tool-15-row-7,"{""price"": true}"
B,easy:m20241028164642633824,ct-b-smoke-20260907T120725Z-m20241028164642633824,3,3,attraction,外滩,retrieved_and_used_consistently,tool-10-row-1,"{""price"": true}"
B,easy:m20241028164642633824,ct-b-smoke-20260907T120725Z-m20241028164642633824,3,4,airplane,FL024,retrieved_and_used_consistently,tool-8-row-7,"{""start"": true, ""end"": true, ""start_time"": true, ""end_time"": true, ""price"": true}"
B,easy:m20241028164924049935,ct-b-smoke-20260907T120902Z-m20241028164924049935,1,0,airplane,FL320,retrieved_and_used_consistently,tool-10-row-0,"{""start"": true, ""end"": true, ""start_time"": true, ""end_time"": true, ""price"": true}"
B,easy:m20241028164924049935,ct-b-smoke-20260907T120902Z-m20241028164924049935,1,1,accommodation,尚花奢酒店(南京夫子庙店),retrieved_and_used_consistently,tool-9-row-0,"{""price"": true}"
B,easy:m20241028164924049935,ct-b-smoke-20260907T120902Z-m20241028164924049935,1,2,attraction,夫子庙,retrieved_and_used_consistently,tool-8-row-9,"{""price"": true}"
B,easy:m20241028164924049935,ct-b-smoke-20260907T120902Z-m20241028164924049935,1,3,lunch,翠贝卡好莱坞电影主题酒吧(王府园路店),retrieved_and_used_consistently,tool-5-row-0,"{""price"": true}"
B,easy:m20241028164924049935,ct-b-smoke-20260907T120902Z-m20241028164924049935,1,4,attraction,太平天国历史博物馆(瞻园),retrieved_and_used_consistently,tool-8-row-1,"{""price"": true}"
B,easy:m20241028164924049935,ct-b-smoke-20260907T120902Z-m20241028164924049935,1,5,attraction,老门东历史街区,retrieved_and_used_consistently,tool-12-row-9,"{""price"": true}"
B,easy:m20241028164924049935,ct-b-smoke-20260907T120902Z-m20241028164924049935,1,6,dinner,翠贝卡好莱坞电影主题酒吧(王府园路店),retrieved_and_used_consistently,tool-5-row-0,"{""price"": true}"
B,easy:m20241028164924049935,ct-b-smoke-20260907T120902Z-m20241028164924049935,2,0,breakfast,清真·金同記 JinTongJi(夫子庙站店),retrieved_and_used_consistently,tool-28-row-0,"{""price"": true}"
B,easy:m20241028164924049935,ct-b-smoke-20260907T120902Z-m20241028164924049935,2,1,attraction,南京博物院,retrieved_and_used_consistently,tool-14-row-0,"{""price"": true}"
B,easy:m20241028164924049935,ct-b-smoke-20260907T120902Z-m20241028164924049935,2,2,lunch,南京大牌档(中山陵店),retrieved_and_used_consistently,tool-27-row-0,"{""price"": true}"
B,easy:m20241028164924049935,ct-b-smoke-20260907T120902Z-m20241028164924049935,2,3,attraction,南京总统府,retrieved_and_used_consistently,tool-12-row-1,"{""price"": true}"
B,easy:m20241028164924049935,ct-b-smoke-20260907T120902Z-m20241028164924049935,2,4,attraction,玄武湖景区,retrieved_and_used_consistently,tool-15-row-0,"{""price"": true}"
B,easy:m20241028164924049935,ct-b-smoke-20260907T120902Z-m20241028164924049935,2,5,dinner,三品堂精致淮扬菜(玄武湖店),retrieved_and_used_consistently,tool-29-row-0,"{""price"": true}"
B,easy:m20241028164924049935,ct-b-smoke-20260907T120902Z-m20241028164924049935,2,6,accommodation,尚花奢酒店(南京夫子庙店),retrieved_and_used_consistently,tool-9-row-0,"{""price"": true}"
B,easy:m20241028164924049935,ct-b-smoke-20260907T120902Z-m20241028164924049935,3,0,breakfast,鲁氏汤包王(长白街店),retrieved_and_used_consistently,tool-28-row-1,"{""price"": true}"
B,easy:m20241028164924049935,ct-b-smoke-20260907T120902Z-m20241028164924049935,3,1,attraction,老门东历史街区,retrieved_and_used_consistently,tool-12-row-9,"{""price"": true}"
B,easy:m20241028164924049935,ct-b-smoke-20260907T120902Z-m20241028164924049935,3,2,lunch,翠贝卡好莱坞电影主题酒吧(王府园路店),retrieved_and_used_consistently,tool-5-row-0,"{""price"": true}"
B,easy:m20241028164924049935,ct-b-smoke-20260907T120902Z-m20241028164924049935,3,3,airplane,FL675,retrieved_and_used_consistently,tool-11-row-5,"{""start"": true, ""end"": true, ""start_time"": true, ""end_time"": true, ""price"": true}"
B,medium:e20241028161327496043,ct-b-smoke-20260908T080546Z-e20241028161327496043,1,0,train,G1554,retrieved_and_used_consistently,tool-1-row-0,"{""start"": true, ""end"": true, ""start_time"": true, ""end_time"": true, ""price"": true}"
B,medium:e20241028161327496043,ct-b-smoke-20260908T080546Z-e20241028161327496043,1,1,accommodation,江苏饭店,retrieved_and_used_consistently,tool-9-row-8,"{""price"": true, ""room_type"": true}"
B,medium:e20241028161327496043,ct-b-smoke-20260908T080546Z-e20241028161327496043,1,2,attraction,夫子庙,retrieved_and_used_consistently,tool-5-row-0,"{""price"": true}"
B,medium:e20241028161327496043,ct-b-smoke-20260908T080546Z-e20241028161327496043,1,3,dinner,南京大牌档(夫子庙平江府店),retrieved_and_used_consistently,tool-11-row-4,"{""price"": true}"
B,medium:e20241028161327496043,ct-b-smoke-20260908T080546Z-e20241028161327496043,1,4,attraction,夫子庙秦淮风光带,retrieved_and_used_consistently,tool-5-row-1,"{""price"": true}"
B,medium:e20241028161327496043,ct-b-smoke-20260908T080546Z-e20241028161327496043,2,0,breakfast,清真·金同記 JinTongJi(夫子庙站店),retrieved_and_used_consistently,tool-11-row-0,"{""price"": true}"
B,medium:e20241028161327496043,ct-b-smoke-20260908T080546Z-e20241028161327496043,2,1,attraction,夫子庙大成殿,retrieved_and_used_consistently,tool-5-row-2,"{""price"": true}"
B,medium:e20241028161327496043,ct-b-smoke-20260908T080546Z-e20241028161327496043,2,2,attraction,乌衣巷,retrieved_and_used_consistently,tool-13-row-2,"{""price"": true}"
B,medium:e20241028161327496043,ct-b-smoke-20260908T080546Z-e20241028161327496043,2,3,lunch,鲁氏汤包王(长白街店),retrieved_and_used_consistently,tool-11-row-1,"{""price"": true}"
B,medium:e20241028161327496043,ct-b-smoke-20260908T080546Z-e20241028161327496043,2,4,attraction,中国科举博物馆(江南贡院),retrieved_and_used_consistently,tool-8-row-9,"{""price"": true}"
B,medium:e20241028161327496043,ct-b-smoke-20260908T080546Z-e20241028161327496043,2,5,dinner,点都德(夫子庙店),retrieved_and_used_consistently,tool-11-row-3,"{""price"": true}"
B,medium:e20241028161327496043,ct-b-smoke-20260908T080546Z-e20241028161327496043,2,6,attraction,南京夫子庙步行街,retrieved_and_used_consistently,tool-5-row-3,"{""price"": true}"
B,medium:e20241028161327496043,ct-b-smoke-20260908T080546Z-e20241028161327496043,3,0,breakfast,清真·莲湖糕团店(贡院西街店),retrieved_and_used_consistently,tool-11-row-9,"{""price"": true}"
B,medium:e20241028161327496043,ct-b-smoke-20260908T080546Z-e20241028161327496043,3,1,attraction,老门东历史街区,retrieved_and_used_consistently,tool-14-row-9,"{""price"": true}"
B,medium:e20241028161327496043,ct-b-smoke-20260908T080546Z-e20241028161327496043,3,2,lunch,电台巷火锅(夫子庙直营店),retrieved_and_used_consistently,tool-11-row-6,"{""price"": true}"
B,medium:e20241028161327496043,ct-b-smoke-20260908T080546Z-e20241028161327496043,3,3,accommodation,江苏饭店,retrieved_and_used_consistently,tool-9-row-8,"{""price"": true, ""room_type"": true}"
B,medium:e20241028161327496043,ct-b-smoke-20260908T080546Z-e20241028161327496043,3,4,train,G1553,retrieved_and_used_consistently,tool-10-row-2,"{""start"": true, ""end"": true, ""start_time"": true, ""end_time"": true, ""price"": true}"
B,human:h20241029143736524841,ct-b-smoke-20260908T081124Z-h20241029143736524841,1,0,train,D2373,retrieved_and_used_consistently,tool-4-row-2,"{""start"": true, ""end"": true, ""start_time"": true, ""end_time"": true, ""price"": true}"
B,human:h20241029143736524841,ct-b-smoke-20260908T081124Z-h20241029143736524841,1,1,accommodation,成都城市名人酒店,retrieved_and_used_consistently,tool-11-row-2,"{""price"": true, ""room_type"": true}"
B,human:h20241029143736524841,ct-b-smoke-20260908T081124Z-h20241029143736524841,2,0,breakfast,酥小蒙牛肉饼店(天府广场店),retrieved_and_used_consistently,tool-29-row-2,"{""price"": true}"
B,human:h20241029143736524841,ct-b-smoke-20260908T081124Z-h20241029143736524841,2,1,attraction,成都大熊猫繁育研究基地,retrieved_and_used_consistently,tool-8-row-0,"{""price"": true}"
B,human:h20241029143736524841,ct-b-smoke-20260908T081124Z-h20241029143736524841,2,2,lunch,成都保利公园皇冠假日酒店·御公馆中餐厅,retrieved_and_used_consistently,tool-15-row-0,"{""price"": true}"
B,human:h20241029143736524841,ct-b-smoke-20260908T081124Z-h20241029143736524841,2,3,attraction,宽窄巷子,retrieved_and_used_consistently,tool-12-row-1,"{""price"": true}"
B,human:h20241029143736524841,ct-b-smoke-20260908T081124Z-h20241029143736524841,2,4,dinner,匠油师傅·融合川菜(宽窄巷子店),retrieved_and_used_consistently,tool-16-row-2,"{""price"": true}"
B,human:h20241029143736524841,ct-b-smoke-20260908T081124Z-h20241029143736524841,2,5,accommodation,成都城市名人酒店,retrieved_and_used_consistently,tool-11-row-2,"{""price"": true, ""room_type"": true}"
B,human:h20241029143736524841,ct-b-smoke-20260908T081124Z-h20241029143736524841,3,0,breakfast,酥小蒙牛肉饼店(天府广场店),retrieved_and_used_consistently,tool-29-row-2,"{""price"": true}"
B,human:h20241029143736524841,ct-b-smoke-20260908T081124Z-h20241029143736524841,3,1,attraction,武侯祠,retrieved_and_used_consistently,tool-9-row-0,"{""price"": true}"
B,human:h20241029143736524841,ct-b-smoke-20260908T081124Z-h20241029143736524841,3,2,lunch,袁记串串香(人民公园店),retrieved_and_used_consistently,tool-17-row-1,"{""price"": true}"
B,human:h20241029143736524841,ct-b-smoke-20260908T081124Z-h20241029143736524841,3,3,attraction,锦里古街,retrieved_and_used_consistently,tool-12-row-2,"{""price"": true}"
B,human:h20241029143736524841,ct-b-smoke-20260908T081124Z-h20241029143736524841,3,4,dinner,月满大江火锅(武侯祠店),retrieved_and_used_consistently,tool-17-row-3,"{""price"": true}"
B,human:h20241029143736524841,ct-b-smoke-20260908T081124Z-h20241029143736524841,3,5,accommodation,成都城市名人酒店,retrieved_and_used_consistently,tool-11-row-2,"{""price"": true, ""room_type"": true}"
B,human:h20241029143736524841,ct-b-smoke-20260908T081124Z-h20241029143736524841,4,0,breakfast,酥小蒙牛肉饼店(天府广场店),retrieved_and_used_consistently,tool-29-row-2,"{""price"": true}"
B,human:h20241029143736524841,ct-b-smoke-20260908T081124Z-h20241029143736524841,4,1,train,D2256,retrieved_and_used_consistently,tool-6-row-9,"{""start"": true, ""end"": true, ""start_time"": true, ""end_time"": true, ""price"": true}"
C,easy:m20241028164642633824,ct-c-20260908T144953Z-m20241028164642633824,1,0,airplane,FL248,retrieved_but_used_inconsistently,tool-1-row-3,"{""start"": false, ""end"": false, ""start_time"": true, ""end_time"": true, ""price"": true}"
C,easy:m20241028164642633824,ct-c-20260908T144953Z-m20241028164642633824,1,1,accommodation,上海凯宾斯基大酒店,retrieved_and_used_consistently,tool-16-row-2,"{""price"": true}"
C,easy:m20241028164642633824,ct-c-20260908T144953Z-m20241028164642633824,1,2,attraction,外滩,retrieved_and_used_consistently,tool-14-row-1,"{""price"": true}"
C,easy:m20241028164642633824,ct-c-20260908T144953Z-m20241028164642633824,1,3,lunch,上海东方滨江大酒店(国际会议中心)·鱼香阁,retrieved_and_used_consistently,tool-18-row-1,"{""price"": true}"
C,easy:m20241028164642633824,ct-c-20260908T144953Z-m20241028164642633824,1,4,attraction,南京路步行街,retrieved_and_used_consistently,tool-9-row-1,"{""price"": true}"
C,easy:m20241028164642633824,ct-c-20260908T144953Z-m20241028164642633824,1,5,dinner,The Captain船长餐厅&酒吧,retrieved_and_used_consistently,tool-5-row-4,"{""price"": true}"
C,easy:m20241028164642633824,ct-c-20260908T144953Z-m20241028164642633824,1,6,accommodation,上海凯宾斯基大酒店,retrieved_and_used_consistently,tool-16-row-2,"{""price"": true}"
C,easy:m20241028164642633824,ct-c-20260908T144953Z-m20241028164642633824,2,0,breakfast,上海凯宾斯基大酒店,retrieved_but_used_inconsistently,tool-16-row-2,"{""price"": false}"
C,easy:m20241028164642633824,ct-c-20260908T144953Z-m20241028164642633824,2,1,attraction,城隍庙,retrieved_and_used_consistently,tool-12-row-0,"{""price"": true}"
C,easy:m20241028164642633824,ct-c-20260908T144953Z-m20241028164642633824,2,2,attraction,东方明珠,retrieved_and_used_consistently,tool-14-row-0,"{""price"": true}"
C,easy:m20241028164642633824,ct-c-20260908T144953Z-m20241028164642633824,2,3,lunch,东方明珠·空中旋转餐厅,retrieved_and_used_consistently,tool-18-row-2,"{""price"": true}"
C,easy:m20241028164642633824,ct-c-20260908T144953Z-m20241028164642633824,2,4,attraction,陆家嘴,retrieved_and_used_consistently,tool-9-row-2,"{""price"": true}"
C,easy:m20241028164642633824,ct-c-20260908T144953Z-m20241028164642633824,2,5,dinner,恰酒吧,retrieved_and_used_consistently,tool-5-row-1,"{""price"": true}"
C,easy:m20241028164642633824,ct-c-20260908T144953Z-m20241028164642633824,2,6,accommodation,上海凯宾斯基大酒店,retrieved_and_used_consistently,tool-16-row-2,"{""price"": true}"
C,easy:m20241028164642633824,ct-c-20260908T144953Z-m20241028164642633824,3,0,breakfast,上海凯宾斯基大酒店,retrieved_but_used_inconsistently,tool-16-row-2,"{""price"": false}"
C,easy:m20241028164642633824,ct-c-20260908T144953Z-m20241028164642633824,3,1,attraction,新天地,retrieved_and_used_consistently,tool-9-row-7,"{""price"": true}"
C,easy:m20241028164642633824,ct-c-20260908T144953Z-m20241028164642633824,3,2,lunch,上海静安瑞吉酒店·The St·Regis Bar 瑞吉酒吧,retrieved_and_used_consistently,tool-5-row-2,"{""price"": true}"
C,easy:m20241028164642633824,ct-c-20260908T144953Z-m20241028164642633824,3,3,airplane,FL021,retrieved_but_used_inconsistently,tool-2-row-4,"{""start"": false, ""end"": false, ""start_time"": true, ""end_time"": true, ""price"": true}"
C,easy:m20241028164924049935,ct-c-20260908T145112Z-m20241028164924049935,1,0,airplane,FL320,retrieved_but_used_inconsistently,tool-2-row-0,"{""start"": false, ""end"": false, ""start_time"": true, ""end_time"": true, ""price"": true}"
C,easy:m20241028164924049935,ct-c-20260908T145112Z-m20241028164924049935,1,1,accommodation,尚花奢酒店(南京夫子庙店),retrieved_and_used_consistently,tool-14-row-0,"{""price"": true, ""room_type"": true}"
C,easy:m20241028164924049935,ct-c-20260908T145112Z-m20241028164924049935,1,2,attraction,南京总统府,retrieved_and_used_consistently,tool-11-row-1,"{""price"": true}"
C,easy:m20241028164924049935,ct-c-20260908T145112Z-m20241028164924049935,1,3,lunch,南京总统府,retrieved_and_used_consistently,tool-11-row-1,"{""price"": true}"
C,easy:m20241028164924049935,ct-c-20260908T145112Z-m20241028164924049935,1,4,attraction,南京博物院,retrieved_and_used_consistently,tool-17-row-0,"{""price"": true}"
C,easy:m20241028164924049935,ct-c-20260908T145112Z-m20241028164924049935,1,5,dinner,翠贝卡好莱坞电影主题酒吧(王府园路店),retrieved_and_used_consistently,tool-6-row-0,"{""price"": true}"
C,easy:m20241028164924049935,ct-c-20260908T145112Z-m20241028164924049935,2,0,breakfast,尚花奢酒店(南京夫子庙店),retrieved_but_used_inconsistently,tool-14-row-0,"{""price"": false}"
C,easy:m20241028164924049935,ct-c-20260908T145112Z-m20241028164924049935,2,1,attraction,明孝陵,retrieved_and_used_consistently,tool-11-row-0,"{""price"": true}"
C,easy:m20241028164924049935,ct-c-20260908T145112Z-m20241028164924049935,2,2,lunch,明孝陵,retrieved_but_used_inconsistently,tool-11-row-0,"{""price"": false}"
C,easy:m20241028164924049935,ct-c-20260908T145112Z-m20241028164924049935,2,3,attraction,夫子庙,retrieved_and_used_consistently,tool-15-row-9,"{""price"": true}"
C,easy:m20241028164924049935,ct-c-20260908T145112Z-m20241028164924049935,2,4,dinner,夫子庙,retrieved_and_used_consistently,tool-15-row-9,"{""price"": true}"
C,easy:m20241028164924049935,ct-c-20260908T145112Z-m20241028164924049935,3,0,breakfast,尚花奢酒店(南京夫子庙店),retrieved_but_used_inconsistently,tool-14-row-0,"{""price"": false}"
C,easy:m20241028164924049935,ct-c-20260908T145112Z-m20241028164924049935,3,1,attraction,南京总统府,retrieved_and_used_consistently,tool-11-row-1,"{""price"": true}"
C,easy:m20241028164924049935,ct-c-20260908T145112Z-m20241028164924049935,3,2,lunch,南京总统府,retrieved_and_used_consistently,tool-11-row-1,"{""price"": true}"
C,easy:m20241028164924049935,ct-c-20260908T145112Z-m20241028164924049935,3,3,airplane,FL675,retrieved_but_used_inconsistently,tool-9-row-5,"{""start"": false, ""end"": false, ""start_time"": true, ""end_time"": true, ""price"": true}"
C,easy:m20241028164815894420,ct-c-20260908T145255Z-m20241028164815894420,1,0,airplane,FL538,retrieved_and_used_consistently,tool-1-row-2,"{""start"": true, ""end"": true, ""start_time"": true, ""end_time"": true, ""price"": true}"
C,easy:m20241028164815894420,ct-c-20260908T145255Z-m20241028164815894420,1,1,accommodation,成都太古-维格公寓,retrieved_and_used_consistently,tool-5-row-0,"{""price"": true, ""room_type"": true}"
C,easy:m20241028164815894420,ct-c-20260908T145255Z-m20241028164815894420,1,2,attraction,成都大熊猫繁育研究基地,retrieved_and_used_consistently,tool-14-row-0,"{""price"": true}"
C,easy:m20241028164815894420,ct-c-20260908T145255Z-m20241028164815894420,1,3,lunch,宽窄巷子,retrieved_but_used_inconsistently,tool-15-row-0,"{""price"": false}"
C,easy:m20241028164815894420,ct-c-20260908T145255Z-m20241028164815894420,1,4,attraction,宽窄巷子,retrieved_and_used_consistently,tool-15-row-0,"{""price"": true}"
C,easy:m20241028164815894420,ct-c-20260908T145255Z-m20241028164815894420,1,5,attraction,武侯祠,retrieved_and_used_consistently,tool-8-row-0,"{""price"": true}"
C,easy:m20241028164815894420,ct-c-20260908T145255Z-m20241028164815894420,1,6,dinner,成都太古-维格公寓,retrieved_but_used_inconsistently,tool-5-row-0,"{""price"": false}"
C,easy:m20241028164815894420,ct-c-20260908T145255Z-m20241028164815894420,2,0,breakfast,成都太古-维格公寓,retrieved_but_used_inconsistently,tool-5-row-0,"{""price"": false}"
C,easy:m20241028164815894420,ct-c-20260908T145255Z-m20241028164815894420,2,1,attraction,杜甫草堂,retrieved_and_used_consistently,tool-8-row-1,"{""price"": true}"
C,easy:m20241028164815894420,ct-c-20260908T145255Z-m20241028164815894420,2,2,lunch,杜甫草堂,retrieved_but_used_inconsistently,tool-8-row-1,"{""price"": false}"
C,easy:m20241028164815894420,ct-c-20260908T145255Z-m20241028164815894420,2,3,attraction,锦里古街,retrieved_and_used_consistently,tool-16-row-0,"{""price"": true}"
C,easy:m20241028164815894420,ct-c-20260908T145255Z-m20241028164815894420,2,4,dinner,成都太古-维格公寓,retrieved_but_used_inconsistently,tool-5-row-0,"{""price"": false}"
C,easy:m20241028164815894420,ct-c-20260908T145255Z-m20241028164815894420,3,0,breakfast,成都太古-维格公寓,retrieved_but_used_inconsistently,tool-5-row-0,"{""price"": false}"
C,easy:m20241028164815894420,ct-c-20260908T145255Z-m20241028164815894420,3,1,attraction,成都太古-维格公寓,retrieved_but_used_inconsistently,tool-5-row-0,"{""price"": false}"
C,easy:m20241028164815894420,ct-c-20260908T145255Z-m20241028164815894420,3,2,lunch,成都太古-维格公寓,retrieved_but_used_inconsistently,tool-5-row-0,"{""price"": false}"
C,easy:m20241028164815894420,ct-c-20260908T145255Z-m20241028164815894420,3,3,airplane,FL453,retrieved_and_used_consistently,tool-9-row-5,"{""start"": true, ""end"": true, ""start_time"": true, ""end_time"": true, ""price"": true}"
C,medium:e20241028161334777418,ct-c-20260908T145356Z-e20241028161334777418,1,0,train,G123,not_retrieved_but_exists_in_sandbox,,{}
C,medium:e20241028161334777418,ct-c-20260908T145356Z-e20241028161334777418,1,1,lunch,黄鹤楼附近,generic_placeholder,,{}
C,medium:e20241028161334777418,ct-c-20260908T145356Z-e20241028161334777418,1,2,attraction,黄鹤楼,not_retrieved_but_exists_in_sandbox,,{}
C,medium:e20241028161334777418,ct-c-20260908T145356Z-e20241028161334777418,1,3,dinner,黄鹤楼附近,generic_placeholder,,{}
C,medium:e20241028161334777418,ct-c-20260908T145356Z-e20241028161334777418,1,4,accommodation,武汉市区酒店,generic_placeholder,,{}
C,medium:e20241028161334777418,ct-c-20260908T145356Z-e20241028161334777418,2,0,breakfast,酒店附近,generic_placeholder,,{}
C,medium:e20241028161334777418,ct-c-20260908T145356Z-e20241028161334777418,2,1,attraction,湖北省博物馆,not_retrieved_but_exists_in_sandbox,,{}
C,medium:e20241028161334777418,ct-c-20260908T145356Z-e20241028161334777418,2,2,lunch,博物馆附近,generic_placeholder,,{}
C,medium:e20241028161334777418,ct-c-20260908T145356Z-e20241028161334777418,2,3,train,G456,generic_placeholder,,{}
C,medium:e20241028161327496043,ct-c-20260908T145509Z-e20241028161327496043,1,0,train,G1554,retrieved_and_used_consistently,tool-1-row-0,"{""start"": true, ""end"": true, ""start_time"": true, ""end_time"": true, ""price"": true}"
C,medium:e20241028161327496043,ct-c-20260908T145509Z-e20241028161327496043,1,1,accommodation,南京钟山宾馆(江苏省会议中心),retrieved_and_used_consistently,tool-9-row-3,"{""price"": true, ""room_type"": true}"
C,medium:e20241028161327496043,ct-c-20260908T145509Z-e20241028161327496043,1,2,attraction,夫子庙,retrieved_and_used_consistently,tool-6-row-0,"{""price"": true}"
C,medium:e20241028161327496043,ct-c-20260908T145509Z-e20241028161327496043,1,3,dinner,南京大牌档(夫子庙平江府店),retrieved_and_used_consistently,tool-14-row-4,"{""price"": true}"
C,medium:e20241028161327496043,ct-c-20260908T145509Z-e20241028161327496043,1,4,accommodation,南京钟山宾馆(江苏省会议中心),retrieved_and_used_consistently,tool-9-row-3,"{""price"": true, ""room_type"": true}"
C,medium:e20241028161327496043,ct-c-20260908T145509Z-e20241028161327496043,2,0,breakfast,桃源村糕团(珠江路店),retrieved_and_used_consistently,tool-26-row-0,"{""price"": true}"
C,medium:e20241028161327496043,ct-c-20260908T145509Z-e20241028161327496043,2,1,attraction,南京总统府,retrieved_and_used_consistently,tool-19-row-1,"{""price"": true}"
C,medium:e20241028161327496043,ct-c-20260908T145509Z-e20241028161327496043,2,2,lunch,同庆楼(珠江路店),retrieved_and_used_consistently,tool-26-row-1,"{""price"": true}"
C,medium:e20241028161327496043,ct-c-20260908T145509Z-e20241028161327496043,2,3,attraction,明孝陵,retrieved_and_used_consistently,tool-19-row-0,"{""price"": true}"
C,medium:e20241028161327496043,ct-c-20260908T145509Z-e20241028161327496043,2,4,dinner,南京大牌档(夫子庙平江府店),retrieved_and_used_consistently,tool-14-row-4,"{""price"": true}"
C,medium:e20241028161327496043,ct-c-20260908T145509Z-e20241028161327496043,2,5,accommodation,南京钟山宾馆(江苏省会议中心),retrieved_and_used_consistently,tool-9-row-3,"{""price"": true, ""room_type"": true}"
C,medium:e20241028161327496043,ct-c-20260908T145509Z-e20241028161327496043,3,0,breakfast,清真·莲湖糕团店(贡院西街店),retrieved_but_used_inconsistently,tool-14-row-9,"{""price"": false}"
C,medium:e20241028161327496043,ct-c-20260908T145509Z-e20241028161327496043,3,1,attraction,夫子庙秦淮风光带,retrieved_and_used_consistently,tool-6-row-1,"{""price"": true}"
C,medium:e20241028161327496043,ct-c-20260908T145509Z-e20241028161327496043,3,2,lunch,南京大牌档(夫子庙平江府店),retrieved_and_used_consistently,tool-14-row-4,"{""price"": true}"
C,medium:e20241028161327496043,ct-c-20260908T145509Z-e20241028161327496043,3,3,train,G1553,retrieved_and_used_consistently,tool-5-row-2,"{""start"": true, ""end"": true, ""start_time"": true, ""end_time"": true, ""price"": true}"
C,human:h20241029143736524841,ct-c-20260908T150133Z-h20241029143736524841,1,0,train,D353,not_retrieved_but_exists_in_sandbox,,{}
C,human:h20241029143736524841,ct-c-20260908T150133Z-h20241029143736524841,1,1,lunch,火车上,fabricated_or_invalid,,{}
C,human:h20241029143736524841,ct-c-20260908T150133Z-h20241029143736524841,1,2,attraction,宽窄巷子,not_retrieved_but_exists_in_sandbox,,{}
C,human:h20241029143736524841,ct-c-20260908T150133Z-h20241029143736524841,1,3,dinner,宽窄巷子附近,generic_placeholder,,{}
C,human:h20241029143736524841,ct-c-20260908T150133Z-h20241029143736524841,1,4,accommodation,成都市区酒店,generic_placeholder,,{}
C,human:h20241029143736524841,ct-c-20260908T150133Z-h20241029143736524841,2,0,breakfast,酒店,generic_placeholder,,{}
